case_group,role,is_malicious,num_cases,num_client_rounds,free_energy_mean,free_energy_std_across_cases,free_energy_min,free_energy_q25_mean,free_energy_median_mean,free_energy_q75_mean,free_energy_max
iid_benign,benign,0,3,122,1.7845089746846095,0.08153957856704695,1.5903671979904177,1.7396521866321564,1.798330803712209,1.8284980754057567,1.953977108001709
iid_malicious,benign,0,3,91,1.7812486256322553,0.10591096015040152,1.5662838220596311,1.7178476055463154,1.796980341275533,1.8323901395003002,2.033903121948242
iid_malicious,malicious,1,3,31,2.1784693147196914,0.376014412533571,0.7219366431236267,1.8100276589393616,2.348139762878418,2.424657662709554,2.585005521774292
malratio_0p0,benign,0,3,120,1.7777932683626811,0.07829674746712408,1.5673819780349731,1.7270749012629192,1.7978149851163228,1.8346501390139263,2.002533197402954
malratio_0p1,benign,0,3,120,1.7777932683626811,0.07829674746712408,1.5673819780349731,1.7270749012629192,1.7978149851163228,1.8346501390139263,2.002533197402954
malratio_0p2,benign,0,3,90,1.7824360556072658,0.09907624907707521,1.5663777589797974,1.7146981755892436,1.7990453243255615,1.838879019021988,2.0051462650299072
malratio_0p2,malicious,1,3,30,2.0440599044164025,0.3215819123638571,0.7114439010620117,1.7992561260859172,2.335038423538208,2.391230742136637,2.5152668952941895
malratio_0p3,benign,0,3,90,1.7824360556072658,0.09907624907707521,1.5663777589797974,1.7146981755892436,1.7990453243255615,1.838879019021988,2.0051462650299072
malratio_0p3,malicious,1,3,30,2.0440599044164025,0.3215819123638571,0.7114439010620117,1.7992561260859172,2.335038423538208,2.391230742136637,2.5152668952941895
malratio_0p4,benign,0,3,60,1.7718305031458537,0.1277520813129981,1.56846284866333,1.7218970855077107,1.7740866144498189,1.8172707557678223,2.0123836994171143
malratio_0p4,malicious,1,3,60,1.9594338059425354,0.30702418189498254,0.6852174997329712,1.2283250490824382,2.3186030785242715,2.39616060256958,2.497201681137085
malratio_0p5,benign,0,3,60,1.7718305031458537,0.1277520813129981,1.56846284866333,1.7218970855077107,1.7740866144498189,1.8172707557678223,2.0123836994171143
malratio_0p5,malicious,1,3,60,1.9594338059425354,0.30702418189498254,0.6852174997329712,1.2283250490824382,2.3186030785242715,2.39616060256958,2.497201681137085
noniid_benign,benign,0,3,122,1.7787854715945228,0.07998959467484247,1.5673819780349731,1.7278647621472676,1.7978149851163228,1.836131473382314,2.002533197402954
noniid_malicious,benign,0,3,91,1.7834051680821243,0.1007144426262332,1.5663777589797974,1.717924952507019,1.7990453243255615,1.8390610019365947,2.0051462650299072
noniid_malicious,malicious,1,3,31,2.052680023511251,0.33331243684619505,0.7114439010620117,1.7992561260859172,2.335038423538208,2.4112415711085,2.6169705390930176
poison_strength_0p0,benign,0,3,90,1.7799994786580404,0.1000483952591952,1.5673627853393557,1.7143175999323528,1.7983389695485432,1.8371562063694,2.0025484561920166
poison_strength_0p0,malicious,1,3,30,1.7436061859130858,0.05809233548200459,1.6290271282196045,1.725468913714091,1.735005259513855,1.7570821444193523,1.8745561838150024
poison_strength_12p0,benign,0,3,90,1.7952665302488542,0.08740739570397196,1.5666075944900513,1.7223761479059856,1.7982571125030518,1.8400829434394836,2.0037450790405273
poison_strength_12p0,malicious,1,3,30,3.4904935558636985,0.8020362891373574,0.3306273818016052,2.9045459826787314,4.219046115875244,4.3073709805806475,4.4527459144592285
poison_strength_2p0,benign,0,3,90,1.780419068866306,0.10010738287835799,1.566525936126709,1.7144105831782024,1.798566182454427,1.8378427127997081,2.0037600994110107
poison_strength_2p0,malicious,1,3,30,1.7850129286448162,0.13013818179699882,1.2383257150650024,1.6799993515014648,1.883464773495992,1.9333157539367676,2.050971269607544
poison_strength_5p0,benign,0,3,90,1.7824360556072658,0.09907624907707521,1.5663777589797974,1.7146981755892436,1.7990453243255615,1.838879019021988,2.0051462650299072
poison_strength_5p0,malicious,1,3,30,2.0440599044164025,0.3215819123638571,0.7114439010620117,1.7992561260859172,2.335038423538208,2.391230742136637,2.5152668952941895
poison_strength_8p0,benign,0,3,90,1.7863868527942233,0.09542308520727541,1.56635582447052,1.7144858539104462,1.7987572352091472,1.8406107723712921,2.0047452449798584
poison_strength_8p0,malicious,1,3,30,2.556504174073537,0.5250982189406176,0.4427697658538818,2.1654367446899414,3.0451486110687256,3.093325694402059,3.238328456878662
seed_variance,benign,0,5,150,1.7593520085016887,0.08556948723514972,1.5517882108688354,1.6690541088581086,1.746318507194519,1.862574392557144,2.0051462650299072
seed_variance,malicious,1,5,50,2.2045429611206053,0.35492694750611575,0.7114439010620117,2.1165534257888794,2.4469451904296875,2.4910620212554933,2.715451955795288
smoke,benign,0,1,1,2.0116255283355713,,2.0116255283355713,2.0116255283355713,2.0116255283355713,2.0116255283355713,2.0116255283355713
smoke,malicious,1,1,1,2.4972896575927734,,2.4972896575927734,2.4972896575927734,2.4972896575927734,2.4972896575927734,2.4972896575927734
success_alpha0p05_ratio0p1_strength2p0,benign,0,1,40,1.8643839538097384,,1.745185136795044,1.8139469623565672,1.8781222701072693,1.9181625843048096,1.9799211025238037
success_alpha0p05_ratio0p1_strength5p0,benign,0,1,40,1.8643839538097384,,1.745185136795044,1.8139469623565672,1.8781222701072693,1.9181625843048096,1.9799211025238037
success_alpha0p05_ratio0p1_strength8p0,benign,0,1,40,1.8643839538097384,,1.745185136795044,1.8139469623565672,1.8781222701072693,1.9181625843048096,1.9799211025238037
success_alpha0p05_ratio0p3_strength2p0,benign,0,1,30,1.897209842999776,,1.8204598426818848,1.8726624548435211,1.901488661766052,1.921564698219299,1.9799211025238037
success_alpha0p05_ratio0p3_strength2p0,malicious,1,1,10,1.6738523244857788,,1.2575633525848389,1.296135187149048,1.855132818222046,1.8980063199996948,2.0624239444732666
success_alpha0p05_ratio0p3_strength5p0,benign,0,1,30,1.903498069445292,,1.820948362350464,1.8748998939990995,1.9173364639282229,1.9373075366020205,1.9799211025238037
success_alpha0p05_ratio0p3_strength5p0,malicious,1,1,10,1.7255305886268617,,0.6972375512123108,0.7537751197814941,2.2833497524261475,2.3673315048217773,2.525959014892578
success_alpha0p05_ratio0p3_strength8p0,benign,0,1,30,1.9198289235432944,,1.8204036951065063,1.87436842918396,1.9248862266540527,1.970002055168152,2.012200117111206
success_alpha0p05_ratio0p3_strength8p0,malicious,1,1,10,2.018044352531433,,0.3501889705657959,0.474990963935852,2.9229912757873535,3.0974273681640625,3.2446231842041016
success_alpha0p05_ratio0p5_strength2p0,benign,0,1,20,1.913802182674408,,1.821560025215149,1.8856467008590696,1.9215508699417112,1.9410194158554075,1.9799211025238037
success_alpha0p05_ratio0p5_strength2p0,malicious,1,1,20,1.8178228735923767,,1.2549504041671753,1.8070735931396484,1.916341245174408,2.0212411880493164,2.0624239444732666
success_alpha0p05_ratio0p5_strength5p0,benign,0,1,20,1.92535457611084,,1.8260135650634768,1.8856467008590696,1.9426153898239136,1.949759602546692,1.9799211025238037
success_alpha0p05_ratio0p5_strength5p0,malicious,1,1,20,2.0456933319568633,,0.6873394250869751,2.204071044921875,2.3475574254989624,2.45074462890625,2.525959014892578
success_alpha0p05_ratio0p5_strength8p0,benign,0,1,20,1.947800838947296,,1.8253532648086548,1.8856467008590696,1.962409734725952,1.996930718421936,2.0394651889801025
success_alpha0p05_ratio0p5_strength8p0,malicious,1,1,20,2.5171128481626512,,0.3354228436946869,2.8191516399383545,3.019036889076233,3.1343979835510254,3.2446231842041016
success_alpha0p1_ratio0p1_strength2p0,benign,0,1,40,1.8668211281299592,,1.7646573781967163,1.8029362559318545,1.8862212896347048,1.9203980565071104,2.002533197402954
success_alpha0p1_ratio0p1_strength5p0,benign,0,1,40,1.8668211281299592,,1.7646573781967163,1.8029362559318545,1.8862212896347048,1.9203980565071104,2.002533197402954
success_alpha0p1_ratio0p1_strength8p0,benign,0,1,40,1.8668211281299592,,1.7646573781967163,1.8029362559318545,1.8862212896347048,1.9203980565071104,2.002533197402954
success_alpha0p1_ratio0p3_strength2p0,benign,0,1,30,1.893285576502482,,1.7846474647521973,1.8539531230926511,1.902934432029724,1.9277369678020475,2.0037600994110107
success_alpha0p1_ratio0p3_strength2p0,malicious,1,1,10,1.871429181098938,,1.8064944744110107,1.831822633743286,1.8446016311645508,1.8760353326797483,1.9981918334960935
success_alpha0p1_ratio0p3_strength5p0,benign,0,1,30,1.8940427382787068,,1.7850358486175537,1.854603350162506,1.9037879705429075,1.928794652223587,2.0051462650299072
success_alpha0p1_ratio0p3_strength5p0,malicious,1,1,10,2.332506608963013,,2.2733402252197266,2.2836480140686035,2.3043212890625,2.3405792713165283,2.460644245147705
success_alpha0p1_ratio0p3_strength8p0,benign,0,1,30,1.8936346610387167,,1.7845762968063354,1.854048639535904,1.9029942750930784,1.928530991077423,2.0047452449798584
success_alpha0p1_ratio0p3_strength8p0,malicious,1,1,10,3.054980516433716,,2.9992787837982178,3.0017809867858887,3.019810914993286,3.068471908569336,3.1855599880218506
success_alpha0p1_ratio0p5_strength2p0,benign,0,1,20,1.914169681072235,,1.7856040000915527,1.8936315774917605,1.924037754535675,1.93311607837677,2.0059425830841064
success_alpha0p1_ratio0p5_strength2p0,malicious,1,1,20,1.871713387966156,,1.7411093711853027,1.8029444217681885,1.8585280179977417,1.9478304386138916,1.9949018955230713
success_alpha0p1_ratio0p5_strength5p0,benign,0,1,20,1.9189048767089845,,1.7909481525421145,1.8993955850601196,1.9276068210601809,1.9389339685440063,2.0123836994171143
success_alpha0p1_ratio0p5_strength5p0,malicious,1,1,20,2.3072570323944093,,2.1435117721557617,2.2506697177886963,2.3102444410324097,2.409364938735962,2.4392685890197754
success_alpha0p1_ratio0p5_strength8p0,benign,0,1,20,1.918459475040436,,1.790778636932373,1.8989733457565308,1.9275453090667725,1.937946081161499,2.01171612739563
success_alpha0p1_ratio0p5_strength8p0,malicious,1,1,20,3.004326844215393,,2.808523178100586,2.960524559020996,3.019969940185547,3.097529649734497,3.1453349590301514
success_alpha1p0_ratio0p1_strength2p0,benign,0,1,40,1.876360094547272,,1.7613606452941897,1.8074377179145813,1.8918524980545044,1.9246039390563965,2.027815341949463
success_alpha1p0_ratio0p1_strength5p0,benign,0,1,40,1.8712369978427887,,1.7448618412017822,1.8277648389339447,1.8870861530303955,1.915693372488022,1.9672683477401731
success_alpha1p0_ratio0p1_strength8p0,benign,0,1,40,1.8693340361118316,,1.780281901359558,1.8329646587371824,1.8776199221611023,1.9116096198558807,1.9574222564697263
success_alpha1p0_ratio0p3_strength2p0,benign,0,1,30,1.900489330291748,,1.7845927476882937,1.8732696771621704,1.9054360389709473,1.9361259639263153,1.967051148414612
success_alpha1p0_ratio0p3_strength2p0,malicious,1,1,10,1.7154158353805542,,1.2745689153671265,1.29047429561615,1.866329550743103,2.0543062686920166,2.091400146484375
success_alpha1p0_ratio0p3_strength5p0,benign,0,1,30,1.9108346780141192,,1.860550045967102,1.8739127814769745,1.915231466293335,1.9365726113319397,1.958814024925232
success_alpha1p0_ratio0p3_strength5p0,malicious,1,1,10,1.7462653756141662,,0.7158190011978149,0.7561950087547302,2.2594516277313232,2.4371984004974365,2.5626628398895264
success_alpha1p0_ratio0p3_strength8p0,benign,0,1,30,1.898830803235372,,1.812589406967163,1.8825229406356812,1.8905444145202637,1.9218981862068176,1.9768086671829224
success_alpha1p0_ratio0p3_strength8p0,malicious,1,1,10,3.160620403289795,,2.961825370788574,3.161513328552246,3.2074248790740967,3.235818862915039,3.2365195751190186
success_alpha1p0_ratio0p5_strength2p0,benign,0,1,20,1.9048792362213136,,1.8675525188446045,1.885837197303772,1.9062479734420776,1.9276089668273928,1.9374865293502808
success_alpha1p0_ratio0p5_strength2p0,malicious,1,1,20,1.8730234503746033,,1.375516653060913,1.780186653137207,1.986998200416565,2.068615436553955,2.191329002380371
success_alpha1p0_ratio0p5_strength5p0,benign,0,1,20,1.9258601188659668,,1.8461158275604248,1.8745551109313965,1.9237354397773745,1.9698278903961184,2.0299906730651855
success_alpha1p0_ratio0p5_strength5p0,malicious,1,1,20,1.7130665719509124,,0.6917729377746582,0.7629545331001282,2.223459839820862,2.3980770111083984,2.5683858394622803
success_alpha1p0_ratio0p5_strength8p0,benign,0,1,20,1.9201585054397583,,1.8741405010223389,1.8955175876617432,1.912907361984253,1.9385193586349487,1.9985020160675049
success_alpha1p0_ratio0p5_strength8p0,malicious,1,1,20,2.790128269791603,,0.4267202913761139,2.9913434982299805,3.026971220970154,3.1014833450317383,3.1998844146728516
